diff_booking_to_cancel,original_selling_amount,day_of_year,how_far_in_advance,length_of_stay,no_of_adults,hotel_brand_code,customer_nationality,charge_option,hotel_chain_code,original_payment_method
-1,214.45,211,8,0,2,572,37,2,273,29
-1,617.97,231,24,0,2,125,32,2,24,19
-1,102.88,167,73,0,2,158,43,2,178,19
-1,118.36,179,6,0,2,679,25,2,138,29
-1,191.72,134,136,0,2,353,37,2,563,29
15,176.49,234,15,0,2,630,37,2,47,19
-1,88.48,220,3,0,2,83,99,2,614,29
-1,27.26,162,55,0,2,778,56,2,304,29
-1,158.38,207,40,0,2,610,3,2,231,5
17,102.78,103,120,0,2,262,37,1,543,29
-1,127.96,179,4,0,2,575,81,2,592,29
5,83.91,179,5,0,1,50,86,2,614,5
14,47.06,172,23,0,2,304,39,1,512,29
11,95.07,193,25,0,2,335,44,2,176,29
44,687.57,136,58,0,1,128,81,1,249,29
-1,967.28,253,7,0,2,10,91,2,531,29
27,547.25,218,36,0,2,697,86,1,27,19
-1,70.79,208,1,0,2,381,86,2,167,19
-1,62.24,229,15,0,2,320,92,2,548,19
-1,628.96,200,8,0,2,875,37,2,79,5
8,244.06,213,59,0,1,872,86,1,535,19
-1,45.22,229,1,0,1,430,44,2,575,16
70,12.95,318,317,0,2,502,56,1,518,19
-1,9.64,270,1,0,2,502,40,2,518,15
-1,159.48,243,6,0,2,18,56,2,221,29
-1,192.38,220,12,0,2,818,44,2,597,19
-1,58.15,257,11,0,2,872,99,2,535,29
-1,958.2,191,18,0,4,671,86,1,341,5
-1,66.39,202,10,0,2,630,44,2,47,29
-1,166.64,135,61,0,2,859,91,1,548,29
-1,19.86,257,1,0,4,709,56,2,87,19
3,73.02,183,4,0,2,709,39,2,87,26
-1,191.13,181,2,0,2,374,37,2,268,29
-1,284.54,179,4,0,2,527,74,2,136,19
-1,84.5,233,10,0,1,836,67,2,487,29
-1,5968.53,213,11,0,6,399,102,2,359,19
-1,1505.22,175,22,0,2,308,99,2,565,29
-1,346.1,198,21,0,4,268,86,2,436,19
110,140.12,95,110,0,3,184,91,1,417,29
-1,164.76,230,14,0,2,502,40,2,518,19
-1,261.01,250,2,0,2,738,99,2,54,29
-1,75.59,170,74,0,1,741,37,2,168,19
37,276.11,118,83,0,1,52,80,1,531,19
-1,364.92,261,5,0,2,322,92,2,492,29
-1,105.55,226,1,0,2,470,86,2,104,26
-1,467.27,201,19,0,2,859,92,2,548,19
-1,241.48,199,2,0,1,447,99,2,96,5
99,312.58,126,110,0,2,52,91,1,531,19
-1,166.76,266,2,0,2,726,40,2,92,29
16,408.1,214,56,0,2,642,91,2,377,19
58,432.52,175,61,0,2,426,37,1,391,29
-1,158.39,135,91,0,2,572,44,2,273,16
-1,62.99,264,1,0,2,152,42,2,614,19
33,173.48,159,33,0,1,230,86,2,168,29
-1,138.6,264,1,0,2,307,99,2,11,29
-1,129.37,231,23,0,3,148,3,2,72,29
16,95.42,213,17,0,4,419,40,1,83,29
9,126.86,223,9,0,1,281,44,1,276,29
-1,39.42,264,1,0,2,339,56,2,212,5
-1,125.37,204,29,0,2,854,86,2,357,19
6,583.98,221,6,0,2,230,99,2,168,26
-1,37.93,237,1,0,1,251,86,2,525,19
-1,79.34,198,30,0,2,195,39,2,593,19
-1,120.02,247,2,0,2,753,16,2,273,29
-1,36.34,244,2,0,2,125,28,2,24,29
-1,149.23,224,2,0,2,169,18,2,51,19
-1,165.36,72,150,0,2,478,3,2,287,22
-1,288.88,206,31,0,2,493,6,2,136,29
-1,35.32,248,2,0,2,604,40,2,187,29
-1,36.6,203,1,0,2,602,3,2,75,29
1,877.2,235,1,0,2,465,18,2,51,19
-1,137.14,174,57,0,2,447,16,1,96,5
-1,135.06,222,7,0,2,50,86,1,614,19
-1,39.34,240,2,0,2,584,92,2,356,29
-1,80.34,177,6,0,2,534,92,2,132,12
-1,97.7,239,3,0,1,427,102,2,548,29
-1,60.65,206,5,0,2,464,81,2,548,29
-1,86.36,250,3,0,2,761,91,2,393,29
-1,283.74,196,6,0,3,49,40,2,115,29
-1,48.49,217,1,0,2,753,91,2,273,29
-1,248.84,190,19,0,2,572,86,2,273,19
-1,136.26,182,36,0,2,863,86,1,327,29
-1,86.08,234,8,0,4,427,92,2,548,29
108,1212.6,126,109,0,5,188,91,1,319,16
40,382.5,187,42,0,2,464,98,1,548,29
6,328.59,102,88,0,2,459,85,1,448,29
-1,54.77,270,3,0,1,872,44,2,535,29
-1,283.43,242,3,0,2,243,92,2,273,29
-1,160.85,216,0,0,2,247,99,2,51,29
-1,153.03,199,2,0,2,193,44,2,544,29
-1,1583.1,68,117,0,10,427,40,2,548,29
-1,50.94,233,4,0,2,527,56,2,136,19
-1,302.5,110,109,0,3,431,86,2,334,27
-1,2317.12,249,4,0,4,817,37,2,79,19
-1,495.77,134,123,0,2,626,98,1,197,29
-1,480.26,202,22,0,2,590,18,2,330,29
-1,289.71,123,86,0,2,321,86,2,58,19
-1,112.15,224,12,0,2,140,86,2,580,19
-1,426.08,84,115,0,3,251,44,2,525,29
-1,79.41,225,1,0,2,46,99,2,454,29
-1,58.75,217,1,0,2,204,3,2,17,29
-1,71.88,220,25,0,2,547,92,2,427,29
-1,250.39,190,1,0,4,78,40,2,110,29
-1,81.17,268,1,0,2,860,37,2,77,29
-1,484.11,252,6,0,1,322,88,2,492,29
22,53.43,217,44,0,2,310,44,1,106,29
20,330.31,222,22,0,2,872,86,1,535,19
-1,166.55,169,56,0,2,244,92,2,294,29
-1,15.11,230,2,0,2,502,74,2,518,19
-1,443.74,118,141,0,3,460,86,2,582,29
15,1090.78,107,100,0,5,405,91,1,408,29
-1,257.06,197,8,0,8,534,56,2,132,29
-1,44.42,234,11,0,2,470,86,2,104,19
76,443.72,48,180,0,4,4,91,1,509,16
159,320.96,60,160,0,2,262,44,1,543,29
0,181.17,249,11,0,2,487,44,1,586,5
-1,454.97,239,10,0,4,149,82,2,408,29
-1,87.5,228,2,0,2,772,56,2,548,29
17,109.15,171,17,0,2,487,91,2,586,19
-1,154.9,237,4,0,2,858,82,2,136,19
-1,197.44,185,12,0,3,50,86,1,614,19
-1,582.67,112,117,0,2,578,99,2,10,29
-1,591.75,165,55,0,3,312,3,2,267,29
-1,236.81,251,14,0,3,874,81,1,548,29
-1,92.9,244,3,0,2,398,40,2,549,29
79,629.47,111,79,0,4,348,91,2,198,29
-1,444.87,182,25,0,2,784,54,2,544,29
-1,1911.63,239,30,0,2,457,3,2,498,5
-1,185.24,232,2,0,2,544,86,2,132,19
-1,50.96,267,4,0,2,458,40,2,51,29
-1,602.97,165,29,0,4,508,91,2,69,19
9,187.05,177,80,0,2,741,82,1,168,29
80,183.58,134,94,0,4,50,86,2,614,5
16,574.13,212,39,0,2,300,98,2,51,5
129,134.59,96,135,0,2,872,44,2,535,29
-1,75.89,272,1,0,2,621,59,2,539,5
22,165.6,143,56,0,2,283,44,1,543,29
-1,434.77,204,34,0,2,578,99,2,10,19
-1,8.92,237,3,0,1,709,74,2,87,19
21,402.84,238,30,0,1,138,74,1,51,19
-1,110.5,171,53,0,2,810,98,2,291,29
35,277.81,153,43,0,1,872,91,1,535,16
-1,390.26,61,178,0,2,487,91,1,586,29
-1,205.04,114,98,0,4,691,91,1,547,19
-1,24.95,248,1,0,2,164,40,2,274,29
13,330.21,219,13,0,2,680,44,2,105,19
21,54.96,199,21,0,1,151,91,1,296,19
-1,402.92,196,20,0,2,427,41,2,548,19
-1,158.62,259,2,0,1,879,86,2,579,29
-1,25.94,249,2,0,1,110,86,2,598,19
-1,250.7,248,2,0,1,875,18,2,79,4
49,19.9,205,14,0,2,166,95,2,502,29
-1,721.68,204,34,0,5,308,44,1,565,29
-1,1999.51,20,175,0,2,121,3,1,618,29
-1,892.39,162,33,0,2,645,39,2,540,29
7,206.7,227,8,0,2,761,86,1,393,19
-1,450.35,225,3,0,2,858,44,2,136,16
-1,323.19,253,13,0,2,78,44,2,110,29
-1,263.28,162,57,0,2,608,66,2,434,19
-1,1983.06,96,87,0,6,138,91,2,51,29
84,348.1,105,88,0,2,595,86,1,580,19
-1,283.19,131,59,0,2,410,37,2,386,19
-1,507.69,230,16,0,2,829,37,2,506,29
4,279.74,260,6,0,2,572,28,2,273,29
-1,65.3,218,2,0,2,226,40,2,613,29
-1,41.61,240,11,0,1,546,86,1,345,19
154,930.96,25,161,0,2,287,94,1,112,5
-1,275.06,270,1,0,2,772,62,2,548,29
-1,338.98,174,82,0,2,321,91,2,58,29
186,2998.64,36,187,0,3,402,44,1,268,16
-1,177.04,222,4,0,2,839,44,2,364,29
165,355.64,100,168,0,2,697,82,2,27,29
-1,428.78,83,106,0,4,480,91,1,334,29
-1,84.95,156,43,0,2,427,25,2,548,19
13,316.56,186,14,0,1,52,86,2,531,29
-1,400.32,140,46,0,2,93,86,2,234,29
-1,641.06,94,102,0,3,322,82,1,492,29
78,674.22,146,78,0,1,717,42,2,503,19
-1,22.97,216,1,0,2,604,95,2,187,19
-1,24.64,206,3,0,2,709,56,2,87,26
46,566.92,188,47,0,2,182,82,2,353,29
-1,130.6,227,11,0,2,762,98,2,97,29
-1,66.69,241,1,0,2,888,90,2,312,29
-1,29.28,197,1,0,2,448,92,2,1,29
-1,135.53,260,7,0,1,412,56,2,336,29
-1,51.34,190,23,0,2,168,18,2,90,26
-1,659.64,261,3,0,2,865,99,2,20,29
56,284.18,177,63,0,1,859,86,2,548,26
-1,344.19,75,165,0,2,821,99,2,127,29
-1,599.47,192,11,0,3,268,56,2,436,19
3,13.66,228,2,0,2,502,40,2,518,29
-1,516.51,191,7,0,2,741,56,2,168,29
-1,95.06,195,0,0,4,306,94,2,329,19
-1,159.06,226,2,0,2,397,56,2,51,29
-1,339.84,132,133,0,2,480,91,2,334,29
35,107.82,185,35,0,2,485,3,1,441,29
166,931.38,100,166,0,12,736,25,2,412,19
7,184.97,260,7,0,2,873,91,1,316,19
-1,832.46,253,20,0,2,31,95,2,194,19
1,33.52,234,2,0,2,724,74,2,310,26
-1,111.71,261,0,0,2,886,44,2,24,16
-1,355.08,172,13,0,2,460,16,1,582,5
-1,13.27,241,6,0,2,502,40,2,518,29
-1,70.18,261,6,0,2,243,56,2,273,10
37,256.55,214,51,0,1,426,91,1,391,19
-1,57.42,184,2,0,2,251,40,2,525,29
-1,228.39,148,54,0,3,211,67,2,594,19
-1,58.74,211,12,0,2,50,81,2,614,29
7,112.5,229,7,0,2,776,18,2,359,19
-1,413.12,171,30,0,3,678,74,2,24,19
66,637.82,145,66,0,2,188,37,1,319,29
-1,400.42,220,5,0,2,287,82,2,112,4
30,139.19,226,36,0,1,879,86,1,579,19
53,1447.98,124,62,0,6,292,18,1,268,29
-1,167.29,164,22,0,2,56,86,1,110,29
-1,74.88,235,1,0,2,50,81,2,614,29
-1,17.34,215,6,0,2,502,95,2,518,2
-1,80.59,231,18,0,1,851,91,1,463,19
-1,285.82,137,80,0,2,286,37,1,176,19
-1,114.27,187,9,0,1,350,95,2,427,29
-1,815.96,213,4,0,8,781,92,2,42,29
242,147.91,305,249,0,3,697,91,1,27,19
4,292.69,182,4,0,2,62,44,2,268,29
-1,50.4,212,1,0,1,286,44,2,176,5
76,328.28,103,163,0,2,696,77,1,44,29
71,1326.27,138,72,0,5,278,3,2,84,19
-1,50.42,245,5,0,1,286,44,2,176,29
-1,160.76,236,4,0,2,437,74,2,570,19
-1,145.37,200,4,0,2,590,74,2,330,19
-1,44.98,213,21,0,1,469,44,2,536,29
39,650.48,226,40,0,4,147,86,1,13,19
-1,118.93,272,1,0,2,308,44,2,565,29
82,71.48,173,89,0,2,872,37,1,535,19
-1,380.96,183,3,0,1,437,56,2,570,29
-1,361.67,222,16,0,2,447,82,2,96,29
-1,504.36,113,134,0,4,230,92,2,168,29
-1,94.64,176,75,0,2,879,37,2,579,29
10,82.61,219,11,0,1,487,86,1,586,5
-1,287.31,199,4,0,3,759,37,2,359,29
-1,355.92,240,19,0,2,215,56,2,514,19
-1,490.24,213,6,0,4,359,95,2,19,19
17,163.33,255,17,0,2,871,86,1,16,29
5,338.33,246,7,0,2,51,86,2,200,29
-1,125.91,166,33,0,1,572,80,2,273,19
11,58.12,238,23,0,2,51,37,1,200,29
-1,193.34,210,0,0,2,805,99,2,272,29
-1,186.25,187,31,0,1,691,86,2,547,29
5,110.5,219,14,0,2,310,95,1,106,29
-1,350.5,181,11,0,3,577,18,2,508,26
10,543.12,243,21,0,2,753,99,1,273,29
-1,216.46,232,0,0,2,784,99,2,544,29
-1,204.2,244,1,0,2,489,18,2,408,4
34,704.47,225,34,0,2,85,91,1,96,29
-1,92.67,239,2,0,1,272,82,2,51,19
11,182.81,174,13,0,3,308,86,2,565,19
34,453.96,148,89,0,2,243,86,1,273,19
-1,406.44,220,4,0,4,243,92,2,273,29
-1,75.63,268,5,0,2,284,44,2,96,5
18,809.8,196,63,0,4,872,42,2,535,29
-1,122.56,250,1,0,4,470,86,2,104,29
40,334.15,211,44,0,2,447,44,1,96,29
1,74.16,261,1,0,2,821,97,2,127,26
50,174.02,171,53,0,1,630,44,1,47,29
-1,22.0,259,1,0,2,452,40,2,328,29
-1,100.41,249,3,0,2,427,66,2,548,19
-1,65.94,252,1,0,2,720,37,2,330,29
-1,76.84,208,15,0,2,457,3,2,498,19
59,235.62,126,123,0,2,107,82,1,549,19
-1,106.19,125,84,0,2,274,86,2,434,29
-1,105.57,177,20,0,2,250,99,2,544,29
-1,38.48,242,30,0,1,450,44,2,217,26
-1,84.82,205,38,0,2,693,92,2,587,19
-1,384.86,84,129,0,2,199,86,2,551,29
48,245.53,189,48,0,2,794,39,1,288,29
100,476.67,94,100,0,2,741,91,1,168,29
-1,119.81,210,1,0,2,874,49,2,205,29
-1,226.03,186,3,0,2,50,86,2,614,29
-1,186.83,243,4,0,2,638,87,2,289,19
-1,529.14,178,17,0,2,40,91,1,241,29
184,145.56,62,190,0,2,427,99,1,548,29
-1,219.35,174,44,0,2,872,99,2,535,29
-1,468.28,194,14,0,2,268,18,2,436,29
10,385.81,232,16,0,2,685,86,1,136,29
24,1559.16,207,25,0,2,875,56,1,79,29
24,312.23,234,26,0,1,871,91,1,16,16
-1,1336.81,165,48,0,2,78,95,1,110,5
26,299.6,195,26,0,2,761,95,1,393,29
36,4863.98,180,36,0,2,541,92,1,544,29
-1,165.5,249,3,0,2,638,74,2,289,19
-1,749.74,228,7,0,2,815,86,2,79,29
174,381.66,83,180,0,6,71,56,1,274,19
13,490.7,211,15,0,1,93,18,1,234,29
-1,108.42,215,27,0,2,458,40,2,51,29
-1,255.6,206,3,0,2,513,80,2,359,29
75,313.22,141,89,0,2,243,16,1,273,29
5,300.56,229,30,0,2,399,92,1,359,29
156,273.65,58,156,0,2,839,18,1,364,29
-1,227.74,264,5,0,2,781,49,2,42,29
-1,203.44,190,27,0,2,872,86,2,535,19
-1,619.21,93,103,0,2,321,18,2,58,4
-1,40.13,193,1,0,2,412,56,2,336,29
1,67.77,194,1,0,2,323,99,2,454,29
-1,452.98,169,26,0,2,734,99,2,359,5
-1,44.61,261,1,0,2,460,37,2,582,29
-1,203.25,228,1,0,4,70,44,2,141,29
-1,267.76,243,25,0,2,572,91,2,273,29
-1,111.2,108,95,0,2,678,25,2,24,29
-1,188.24,236,27,0,2,340,74,1,73,19
-1,302.44,236,11,0,2,741,91,1,168,19
-1,143.28,243,1,0,2,784,70,2,544,19
-1,465.54,72,139,0,3,578,91,2,10,29
-1,404.67,181,54,0,2,638,86,2,289,19
-1,211.42,139,47,0,4,449,70,2,544,19
-1,114.16,140,81,0,2,772,82,2,548,29
-1,87.35,258,8,0,2,339,74,2,212,19
-1,186.31,212,26,0,1,592,86,1,482,16
-1,202.93,28,173,0,6,852,37,2,378,29
-1,193.69,206,11,0,2,464,92,2,548,29
-1,175.85,218,2,0,2,815,37,2,79,5
-1,939.6,65,165,0,1,350,82,2,427,5
-1,138.15,206,1,0,1,447,44,2,96,29
54,289.0,208,8,0,2,825,99,2,492,29
-1,54.32,255,1,0,2,530,99,2,202,29
167,181.77,62,167,0,2,432,40,2,119,29
-1,34.41,189,35,0,2,251,82,1,525,29
-1,74.37,265,7,0,2,736,3,2,412,5
3,110.02,214,11,0,2,188,92,1,319,5
-1,91.36,253,9,0,2,12,56,2,267,29
-1,86.25,259,2,0,3,458,56,2,51,29
8,190.15,175,11,0,2,490,82,2,617,29
-1,65.5,193,8,0,2,881,86,2,548,19
-1,103.01,248,4,0,1,322,91,2,492,19
-1,263.14,216,10,0,2,328,95,2,123,22
92,467.1,112,122,0,3,592,37,1,482,29
-1,449.62,190,14,0,2,585,72,2,18,29
6,17.15,221,17,0,1,58,67,1,157,29
-1,323.34,102,125,0,2,741,86,2,168,19
22,288.18,207,25,0,2,884,81,1,2,19
-1,165.57,94,102,0,6,678,28,2,24,29
35,395.25,163,48,0,1,430,86,1,575,29
-1,329.7,189,7,0,2,872,37,2,535,27
-1,81.01,208,2,0,2,583,99,2,445,19
-1,183.68,235,32,0,4,407,95,2,176,29
-1,29.11,217,2,0,2,792,82,2,120,19
-1,1165.55,224,36,0,2,772,98,2,548,29
-1,190.31,231,38,0,3,462,91,1,543,29
15,186.94,186,79,0,2,872,86,2,535,29
-1,43.02,192,6,0,2,490,40,2,617,29
-1,41.35,263,3,0,2,502,74,2,518,19
16,398.04,247,23,0,2,642,91,2,377,19
-1,689.28,220,48,0,4,266,3,1,618,29
-1,70.19,226,4,0,2,681,56,2,118,29
-1,335.16,125,115,0,2,437,102,2,570,29
-1,112.92,186,2,0,2,50,89,2,614,29
-1,91.8,246,1,0,2,754,88,2,298,29
-1,209.66,163,26,0,2,770,95,2,205,29
-1,224.08,150,97,0,2,40,82,1,241,29
-1,102.61,184,4,0,2,126,40,2,443,19
-1,81.21,210,1,0,2,392,86,2,94,26
-1,328.2,197,7,0,2,871,86,2,16,29
-1,600.84,148,46,0,2,815,86,1,79,19
-1,1791.44,196,36,0,4,522,99,2,169,29
-1,179.52,220,25,0,2,243,82,2,273,29
-1,77.64,240,9,0,1,464,82,2,548,29
-1,73.13,270,3,0,1,427,95,2,548,29
-1,489.84,129,94,0,2,78,86,1,110,29
-1,119.5,199,1,0,2,337,102,2,2,19
-1,30.6,210,4,0,2,792,82,2,120,19
-1,267.86,210,30,0,2,772,37,2,548,29
